doc_id,page_no,logical_subtable_id,table_semantic_key,statement_type,row_label_std,column_semantic_key,period_key,provider_values_json,decision,accepted_provider,reason,meta_json,conflict_id,compared_pair_count,providers,candidate_values_json,magnitude_ratio,validation_delta,needs_review,accepted_fact_id
债务人审计报告-2022年,4,0_sub2,"balance_sheet|t:预提费用|h:预计负债|r:一年内到期的长期负债,其他流动负债,流动负债合计",balance_sheet,长期负债合计,期末数,2022-12-31__期末数,"{""aliyun_table"":[{""column_semantic_key"":""期末数"",""fact_id"":""F000116"",""issue_flags"":[""numeric_parse_failed"",""contains_chinese_noise"",""expected_numeric_but_unparseable""],""logical_subtable_id"":""0_sub2"",""period_key"":""2022-12-31__期末数"",""status"":""review"",""table_semantic_key"":""balance_sheet|t:预提费用|h:预计负债|r:一年内到期的长期负债,其他流动负债,流动负债合计"",""value_num"":null,""value_raw"":""务屏20，000，000.00""}],""tencent_table_v3"":[{""column_semantic_key"":""期末数"",""fact_id"":""F000258"",""issue_flags"":[],""logical_subtable_id"":""5_sub2"",""period_key"":""2022-12-31__期末数"",""status"":""observed"",""table_semantic_key"":""balance_sheet|t:预提费用|h:预计负债|r:一年内到期的长期负债,其他流动负债,流动负债合计"",""value_num"":70000000.0,""value_raw"":""70,000,000.00""}]}",accepted_with_rule_support,tencent_table_v3,single_clean_numeric_candidate,"{""compared_pairs"":[{""left_fact_id"":""F000116"",""left_provider"":""aliyun_table"",""left_value"":""务屏20，000，000.00"",""right_fact_id"":""F000258"",""right_provider"":""tencent_table_v3"",""right_value"":70000000.0}],""provider_logical_subtable_ids"":{""aliyun_table"":[""0_sub2""],""tencent_table_v3"":[""5_sub2""]},""providers"":[""aliyun_table"",""tencent_table_v3""]}",CF00001,1,"aliyun_table,tencent_table_v3","{""aliyun_table"":[{""column_semantic_key"":""期末数"",""fact_id"":""F000116"",""issue_flags"":[""numeric_parse_failed"",""contains_chinese_noise"",""expected_numeric_but_unparseable""],""logical_subtable_id"":""0_sub2"",""period_key"":""2022-12-31__期末数"",""status"":""review"",""table_semantic_key"":""balance_sheet|t:预提费用|h:预计负债|r:一年内到期的长期负债,其他流动负债,流动负债合计"",""value_num"":null,""value_raw"":""务屏20，000，000.00""}],""tencent_table_v3"":[{""column_semantic_key"":""期末数"",""fact_id"":""F000258"",""issue_flags"":[],""logical_subtable_id"":""5_sub2"",""period_key"":""2022-12-31__期末数"",""status"":""observed"",""table_semantic_key"":""balance_sheet|t:预提费用|h:预计负债|r:一年内到期的长期负债,其他流动负债,流动负债合计"",""value_num"":70000000.0,""value_raw"":""70,000,000.00""}]}",,,False,F000258
债务人审计报告-2022年,17,1_sub1,"note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费",note,财产保险费,本期发生额,2022年度__本期,"{""aliyun_table"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F000998"",""issue_flags"":[],""logical_subtable_id"":""1_sub1"",""period_key"":""2022年度__本期"",""status"":""observed"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":85533955.0,""value_raw"":""85533955""}],""tencent_table_v3"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F001054"",""issue_flags"":[],""logical_subtable_id"":""5_sub1"",""period_key"":""2022年度__本期"",""status"":""observed"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":85334.55,""value_raw"":""85,334.55""}]}",review_required,,magnitude_ratio_exceeds_force_threshold,"{""compared_pairs"":[{""left_fact_id"":""F000998"",""left_provider"":""aliyun_table"",""left_value"":85533955.0,""right_fact_id"":""F001054"",""right_provider"":""tencent_table_v3"",""right_value"":85334.55}],""provider_logical_subtable_ids"":{""aliyun_table"":[""1_sub1""],""tencent_table_v3"":[""5_sub1""]},""providers"":[""aliyun_table"",""tencent_table_v3""]}",CF00002,1,"aliyun_table,tencent_table_v3","{""aliyun_table"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F000998"",""issue_flags"":[],""logical_subtable_id"":""1_sub1"",""period_key"":""2022年度__本期"",""status"":""observed"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":85533955.0,""value_raw"":""85533955""}],""tencent_table_v3"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F001054"",""issue_flags"":[],""logical_subtable_id"":""5_sub1"",""period_key"":""2022年度__本期"",""status"":""observed"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":85334.55,""value_raw"":""85,334.55""}]}",1002.336744,,True,
债务人审计报告-2022年,17,1_sub1,"note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费",note,业务招待费,本期发生额,2022年度__本期,"{""aliyun_table"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F001000"",""issue_flags"":[""numeric_parse_failed"",""contains_chinese_noise"",""expected_numeric_but_unparseable""],""logical_subtable_id"":""1_sub1"",""period_key"":""2022年度__本期"",""status"":""review"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":null,""value_raw"":""第304，802.57""}],""tencent_table_v3"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F001056"",""issue_flags"":[],""logical_subtable_id"":""5_sub1"",""period_key"":""2022年度__本期"",""status"":""observed"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":304802.57,""value_raw"":""304,802.57""}]}",accepted_with_rule_support,tencent_table_v3,single_clean_numeric_candidate,"{""compared_pairs"":[{""left_fact_id"":""F001000"",""left_provider"":""aliyun_table"",""left_value"":""第304，802.57"",""right_fact_id"":""F001056"",""right_provider"":""tencent_table_v3"",""right_value"":304802.57}],""provider_logical_subtable_ids"":{""aliyun_table"":[""1_sub1""],""tencent_table_v3"":[""5_sub1""]},""providers"":[""aliyun_table"",""tencent_table_v3""]}",CF00003,1,"aliyun_table,tencent_table_v3","{""aliyun_table"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F001000"",""issue_flags"":[""numeric_parse_failed"",""contains_chinese_noise"",""expected_numeric_but_unparseable""],""logical_subtable_id"":""1_sub1"",""period_key"":""2022年度__本期"",""status"":""review"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":null,""value_raw"":""第304，802.57""}],""tencent_table_v3"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F001056"",""issue_flags"":[],""logical_subtable_id"":""5_sub1"",""period_key"":""2022年度__本期"",""status"":""observed"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":304802.57,""value_raw"":""304,802.57""}]}",,,False,F001056
债务人审计报告-2022年,17,1_sub1,"note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费",note,其他,本期发生额,2022年度__本期,"{""aliyun_table"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F001002"",""issue_flags"":[""numeric_parse_failed"",""contains_chinese_noise"",""expected_numeric_but_unparseable""],""logical_subtable_id"":""1_sub1"",""period_key"":""2022年度__本期"",""status"":""review"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":null,""value_raw"":""张49，064.95""}],""tencent_table_v3"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F001058"",""issue_flags"":[],""logical_subtable_id"":""5_sub1"",""period_key"":""2022年度__本期"",""status"":""observed"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":49064.95,""value_raw"":""49,064.95""}]}",accepted_with_rule_support,tencent_table_v3,single_clean_numeric_candidate,"{""compared_pairs"":[{""left_fact_id"":""F001002"",""left_provider"":""aliyun_table"",""left_value"":""张49，064.95"",""right_fact_id"":""F001058"",""right_provider"":""tencent_table_v3"",""right_value"":49064.95}],""provider_logical_subtable_ids"":{""aliyun_table"":[""1_sub1""],""tencent_table_v3"":[""5_sub1""]},""providers"":[""aliyun_table"",""tencent_table_v3""]}",CF00004,1,"aliyun_table,tencent_table_v3","{""aliyun_table"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F001002"",""issue_flags"":[""numeric_parse_failed"",""contains_chinese_noise"",""expected_numeric_but_unparseable""],""logical_subtable_id"":""1_sub1"",""period_key"":""2022年度__本期"",""status"":""review"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":null,""value_raw"":""张49，064.95""}],""tencent_table_v3"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F001058"",""issue_flags"":[],""logical_subtable_id"":""5_sub1"",""period_key"":""2022年度__本期"",""status"":""observed"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":49064.95,""value_raw"":""49,064.95""}]}",,,False,F001058
债务人审计报告-2022年,17,1_sub1,"note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费",note,合计,本期发生额,2022年度__本期,"{""aliyun_table"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F001004"",""issue_flags"":[""numeric_parse_failed"",""contains_chinese_noise"",""expected_numeric_but_unparseable""],""logical_subtable_id"":""1_sub1"",""period_key"":""2022年度__本期"",""status"":""review"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":null,""value_raw"":""1，440，129.82章""}],""tencent_table_v3"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F001060"",""issue_flags"":[],""logical_subtable_id"":""5_sub1"",""period_key"":""2022年度__本期"",""status"":""observed"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":1440129.82,""value_raw"":""1,440,129.82""}]}",accepted_with_rule_support,tencent_table_v3,single_clean_numeric_candidate,"{""compared_pairs"":[{""left_fact_id"":""F001004"",""left_provider"":""aliyun_table"",""left_value"":""1，440，129.82章"",""right_fact_id"":""F001060"",""right_provider"":""tencent_table_v3"",""right_value"":1440129.82}],""provider_logical_subtable_ids"":{""aliyun_table"":[""1_sub1""],""tencent_table_v3"":[""5_sub1""]},""providers"":[""aliyun_table"",""tencent_table_v3""]}",CF00005,1,"aliyun_table,tencent_table_v3","{""aliyun_table"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F001004"",""issue_flags"":[""numeric_parse_failed"",""contains_chinese_noise"",""expected_numeric_but_unparseable""],""logical_subtable_id"":""1_sub1"",""period_key"":""2022年度__本期"",""status"":""review"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":null,""value_raw"":""1，440，129.82章""}],""tencent_table_v3"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F001060"",""issue_flags"":[],""logical_subtable_id"":""5_sub1"",""period_key"":""2022年度__本期"",""status"":""observed"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":1440129.82,""value_raw"":""1,440,129.82""}]}",,,False,F001060
