doc_id,page_no,provider,statement_type,statement_name_raw,logical_subtable_id,table_semantic_key,row_label_raw,row_label_std,col_header_raw,col_header_path,column_semantic_key,period_role_raw,report_date_raw,period_key,value_raw,value_num,value_type,unit_raw,unit_multiplier,source_cell_ref,status,mapping_code,mapping_name,mapping_method,mapping_confidence,issue_flags,fact_id,report_date_norm,period_role_norm,period_source_level,period_reason,duplicate_group_id,kept_fact_id,comparison_status,comparison_reason,source_kind,statement_group_key,source_row_start,source_row_end,source_col_start,source_col_end,mapping_relation_type,mapping_review_required,conflict_id,conflict_decision,unplaced_reason,review_id
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",应收账款,应收账款,期初数,"[""期初数""]",期初数,期初数,2022年12月31日,2022-12-31__期初数,220，648，863.87,220648863.87,amount,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:7-7:2-2,observed,ZT_008,应收账款,exact,1.0,[],F000011,2022-12-31,期初数,page,page_exact_candidate,DUP00011,F000011,equal,normalized_values_equal,json,balance_sheet|资产负债表,7,7,2,2,,False,,,,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",应收账款,应收账款,期末数,"[""期末数""]",期末数,期末数,2022年12月31日,2022-12-31__期末数,325，970，854.66,325970854.66,amount,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:7-7:3-3,observed,ZT_008,应收账款,exact,1.0,[],F000012,2022-12-31,期末数,page,page_exact_candidate,DUP00012,F000012,equal,normalized_values_equal,json,balance_sheet|资产负债表,7,7,3,3,,False,,,,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",其他应收款,其他应收款,期初数,"[""期初数""]",期初数,期初数,2022年12月31日,2022-12-31__期初数,703，584，915.55,703584915.55,amount,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:8-8:2-2,observed,ZT_017,其他应收款,exact,1.0,[],F000013,2022-12-31,期初数,page,page_exact_candidate,DUP00013,F000013,equal,normalized_values_equal,json,balance_sheet|资产负债表,8,8,2,2,,False,,,,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",其他应收款,其他应收款,期末数,"[""期末数""]",期末数,期末数,2022年12月31日,2022-12-31__期末数,1，150，290，194.51,1150290194.51,amount,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:8-8:3-3,observed,ZT_017,其他应收款,exact,1.0,[],F000014,2022-12-31,期末数,page,page_exact_candidate,DUP00014,F000014,equal,normalized_values_equal,json,balance_sheet|资产负债表,8,8,3,3,,False,,,,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",预付账款,预付账款,期初数,"[""期初数""]",期初数,期初数,2022年12月31日,2022-12-31__期初数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:9-9:2-2,blank,ZT_010,预付账款,exact,1.0,[],F000015,2022-12-31,期初数,page,page_exact_candidate,DUP00015,F000015,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,9,9,2,2,,False,,,non_numeric_or_blank,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",预付账款,预付账款,期末数,"[""期末数""]",期末数,期末数,2022年12月31日,2022-12-31__期末数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:9-9:3-3,blank,ZT_010,预付账款,exact,1.0,[],F000016,2022-12-31,期末数,page,page_exact_candidate,DUP00016,F000016,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,9,9,3,3,,False,,,non_numeric_or_blank,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",应收补贴款,应收补贴款,期初数,"[""期初数""]",期初数,期初数,2022年12月31日,2022-12-31__期初数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:10-10:2-2,blank,ZT_019,应收补贴款,exact,1.0,[],F000017,2022-12-31,期初数,page,page_exact_candidate,DUP00017,F000017,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,10,10,2,2,,False,,,non_numeric_or_blank,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",应收补贴款,应收补贴款,期末数,"[""期末数""]",期末数,期末数,2022年12月31日,2022-12-31__期末数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:10-10:3-3,blank,ZT_019,应收补贴款,exact,1.0,[],F000018,2022-12-31,期末数,page,page_exact_candidate,DUP00018,F000018,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,10,10,3,3,,False,,,non_numeric_or_blank,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",存货,存货,期初数,"[""期初数""]",期初数,期初数,2022年12月31日,2022-12-31__期初数,109，991，116.36,109991116.36,amount,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:11-11:2-2,observed,ZT_023,存货,exact,1.0,[],F000019,2022-12-31,期初数,page,page_exact_candidate,DUP00019,F000019,equal,normalized_values_equal,json,balance_sheet|资产负债表,11,11,2,2,,False,,,,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",存货,存货,期末数,"[""期末数""]",期末数,期末数,2022年12月31日,2022-12-31__期末数,120，637，098.01,120637098.01,amount,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:11-11:3-3,observed,ZT_023,存货,exact,1.0,[],F000020,2022-12-31,期末数,page,page_exact_candidate,DUP00020,F000020,equal,normalized_values_equal,json,balance_sheet|资产负债表,11,11,3,3,,False,,,,
