doc_id,page_no,provider,source_file,table_id,logical_subtable_id,row_start,row_end,col_start,col_end,bbox_json,text_raw,text_clean,ocr_conf,is_empty,is_header,is_suspicious,suspicious_reason,repair_status,meta_json
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,26,26,5,5,"[{""x"":816,""y"":1020},{""x"":858,""y"":1020},{""x"":856,""y"":1050},{""x"":816,""y"":1050}]",54,54,99.0,False,False,False,,raw,"{""abs_col"":5,""grid_col"":1,""grid_row"":26,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":213,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,26,26,6,6,"[{""x"":858,""y"":1020},{""x"":967,""y"":1020},{""x"":967,""y"":1050},{""x"":856,""y"":1050}]",米,米,100.0,False,False,True,seal_or_stamp_noise|expected_numeric_but_unparseable,unresolved,"{""abs_col"":6,""grid_col"":2,""grid_row"":26,""is_span_anchor"":true,""issue_flags"":[""numeric_parse_failed""],""source_kind"":""json"",""table_cell_id"":214,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,26,26,7,7,"[{""x"":967,""y"":1020},{""x"":1077,""y"":1020},{""x"":1077,""y"":1049},{""x"":967,""y"":1050}]",,,,True,False,False,,raw,"{""abs_col"":7,""grid_col"":3,""grid_row"":26,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":215,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,27,27,4,4,"[{""x"":614,""y"":1050},{""x"":816,""y"":1050},{""x"":816,""y"":1080},{""x"":614,""y"":1080}]",负债合计,负债合计,99.0,False,False,False,,raw,"{""abs_col"":4,""grid_col"":0,""grid_row"":27,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":220,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,27,27,5,5,"[{""x"":816,""y"":1050},{""x"":856,""y"":1050},{""x"":856,""y"":1080},{""x"":816,""y"":1080}]",55,55,99.0,False,False,False,,raw,"{""abs_col"":5,""grid_col"":1,""grid_row"":27,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":221,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,27,27,6,6,"[{""x"":856,""y"":1050},{""x"":967,""y"":1050},{""x"":967,""y"":1080},{""x"":856,""y"":1080}]",1，079，496，213.03,"1,079,496,213.03",97.0,False,False,False,,cleaned,"{""abs_col"":6,""grid_col"":2,""grid_row"":27,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":222,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,27,27,7,7,"[{""x"":967,""y"":1050},{""x"":1077,""y"":1049},{""x"":1077,""y"":1079},{""x"":967,""y"":1080}]",1，642，438，970.36,"1,642,438,970.36",95.0,False,False,False,,cleaned,"{""abs_col"":7,""grid_col"":3,""grid_row"":27,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":223,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,28,28,4,4,"[{""x"":614,""y"":1080},{""x"":816,""y"":1080},{""x"":816,""y"":1110},{""x"":614,""y"":1110}]",,,,True,False,False,,raw,"{""abs_col"":4,""grid_col"":0,""grid_row"":28,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":228,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,28,28,5,5,"[{""x"":816,""y"":1080},{""x"":856,""y"":1080},{""x"":856,""y"":1110},{""x"":816,""y"":1110}]",,,,True,False,False,,raw,"{""abs_col"":5,""grid_col"":1,""grid_row"":28,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":229,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,28,28,6,6,"[{""x"":856,""y"":1080},{""x"":967,""y"":1080},{""x"":967,""y"":1109},{""x"":856,""y"":1110}]",,,,True,False,False,,raw,"{""abs_col"":6,""grid_col"":2,""grid_row"":28,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":230,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
