conflict_id,doc_id,page_no,statement_type,period_key,providers,compared_pair_count,candidate_values_json,magnitude_ratio,decision,decision_reason,accepted_fact_id,needs_review,validation_delta,meta_json
CF00001,债务人审计报告-2022年,4,balance_sheet,2022-12-31__期末数,"aliyun_table,tencent_table_v3",1,"{""aliyun_table"":[{""column_semantic_key"":""期末数"",""fact_id"":""F000116"",""issue_flags"":[""numeric_parse_failed"",""contains_chinese_noise"",""expected_numeric_but_unparseable""],""logical_subtable_id"":""0_sub2"",""period_key"":""2022-12-31__期末数"",""status"":""review"",""table_semantic_key"":""balance_sheet|t:预提费用|h:预计负债|r:一年内到期的长期负债,其他流动负债,流动负债合计"",""value_num"":null,""value_raw"":""务屏20，000，000.00""}],""tencent_table_v3"":[{""column_semantic_key"":""期末数"",""fact_id"":""F000258"",""issue_flags"":[],""logical_subtable_id"":""5_sub2"",""period_key"":""2022-12-31__期末数"",""status"":""observed"",""table_semantic_key"":""balance_sheet|t:预提费用|h:预计负债|r:一年内到期的长期负债,其他流动负债,流动负债合计"",""value_num"":70000000.0,""value_raw"":""70,000,000.00""}]}",,accepted_with_rule_support,single_clean_numeric_candidate,F000258,False,,"{""candidate_fact_ids"":[""F000116"",""F000258""],""merge_enabled"":true}"
CF00002,债务人审计报告-2022年,17,note,2022年度__本期,"aliyun_table,tencent_table_v3",1,"{""aliyun_table"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F000998"",""issue_flags"":[],""logical_subtable_id"":""1_sub1"",""period_key"":""2022年度__本期"",""status"":""observed"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":85533955.0,""value_raw"":""85533955""}],""tencent_table_v3"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F001054"",""issue_flags"":[],""logical_subtable_id"":""5_sub1"",""period_key"":""2022年度__本期"",""status"":""observed"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":85334.55,""value_raw"":""85,334.55""}]}",1002.336744,review_required,magnitude_ratio_exceeds_force_threshold,,True,,"{""candidate_fact_ids"":[""F000998"",""F001054""],""merge_enabled"":true}"
CF00003,债务人审计报告-2022年,17,note,2022年度__本期,"aliyun_table,tencent_table_v3",1,"{""aliyun_table"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F001000"",""issue_flags"":[""numeric_parse_failed"",""contains_chinese_noise"",""expected_numeric_but_unparseable""],""logical_subtable_id"":""1_sub1"",""period_key"":""2022年度__本期"",""status"":""review"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":null,""value_raw"":""第304，802.57""}],""tencent_table_v3"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F001056"",""issue_flags"":[],""logical_subtable_id"":""5_sub1"",""period_key"":""2022年度__本期"",""status"":""observed"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":304802.57,""value_raw"":""304,802.57""}]}",,accepted_with_rule_support,single_clean_numeric_candidate,F001056,False,,"{""candidate_fact_ids"":[""F001000"",""F001056""],""merge_enabled"":true}"
CF00004,债务人审计报告-2022年,17,note,2022年度__本期,"aliyun_table,tencent_table_v3",1,"{""aliyun_table"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F001002"",""issue_flags"":[""numeric_parse_failed"",""contains_chinese_noise"",""expected_numeric_but_unparseable""],""logical_subtable_id"":""1_sub1"",""period_key"":""2022年度__本期"",""status"":""review"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":null,""value_raw"":""张49，064.95""}],""tencent_table_v3"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F001058"",""issue_flags"":[],""logical_subtable_id"":""5_sub1"",""period_key"":""2022年度__本期"",""status"":""observed"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":49064.95,""value_raw"":""49,064.95""}]}",,accepted_with_rule_support,single_clean_numeric_candidate,F001058,False,,"{""candidate_fact_ids"":[""F001002"",""F001058""],""merge_enabled"":true}"
CF00005,债务人审计报告-2022年,17,note,2022年度__本期,"aliyun_table,tencent_table_v3",1,"{""aliyun_table"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F001004"",""issue_flags"":[""numeric_parse_failed"",""contains_chinese_noise"",""expected_numeric_but_unparseable""],""logical_subtable_id"":""1_sub1"",""period_key"":""2022年度__本期"",""status"":""review"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":null,""value_raw"":""1，440，129.82章""}],""tencent_table_v3"":[{""column_semantic_key"":""本期发生额"",""fact_id"":""F001060"",""issue_flags"":[],""logical_subtable_id"":""5_sub1"",""period_key"":""2022年度__本期"",""status"":""observed"",""table_semantic_key"":""note|h:项目,上期发生额,本期发生额|r:工资,福利费,折旧费"",""value_num"":1440129.82,""value_raw"":""1,440,129.82""}]}",,accepted_with_rule_support,single_clean_numeric_candidate,F001060,False,,"{""candidate_fact_ids"":[""F001004"",""F001060""],""merge_enabled"":true}"
