check_id,check_name,severity,status,message,meta_json
INT001,required_helper_sheets,error,pass,Workbook helper sheet contract check.,"{""actual_sheets"":[""Sheet1"",""_issues"",""_validation"",""_duplicates"",""_conflicts"",""_review_queue"",""_unplaced_facts"",""_meta_summary""],""required_sheets"":[""_meta_summary"",""_issues"",""_validation"",""_duplicates"",""_conflicts"",""_unplaced_facts"",""_review_queue""]}"
INT002,duplicate_main_period_columns,error,pass,Main sheet must not contain duplicate period columns.,"{""period_columns"":[""2022-12-31__期初数"",""2022-12-31__期末数"",""2022年度__上期"",""2022年度__期初数"",""2022年度__期末数"",""2022年度__本期""]}"
INT003,no_unknown_date_columns_when_summary_zero,error,pass,"run_summary says unknown_date_total=0, so main sheet must not expose unknown_date columns.","{""period_columns"":[""2022-12-31__期初数"",""2022-12-31__期末数"",""2022年度__上期"",""2022年度__期初数"",""2022年度__期末数"",""2022年度__本期""]}"
INT004,no_unknown_role_columns_on_main_sheet,error,pass,Main sheet must not expose unresolved period-role columns.,"{""period_columns"":[""2022-12-31__期初数"",""2022-12-31__期末数"",""2022年度__上期"",""2022年度__期初数"",""2022年度__期末数"",""2022年度__本期""]}"
INT005,main_sheet_periods_match_exportable_facts,error,pass,Main sheet period columns must match exportable resolved deduped facts.,"{""actual_periods"":[""2022-12-31__期初数"",""2022-12-31__期末数"",""2022年度__上期"",""2022年度__期初数"",""2022年度__期末数"",""2022年度__本期""],""expected_periods"":[""2022-12-31__期初数"",""2022-12-31__期末数"",""2022年度__上期"",""2022年度__期初数"",""2022年度__期末数"",""2022年度__本期""]}"
INT006,export_uses_deduped_facts,error,pass,Export must explicitly use deduped facts as its source of truth.,"{""source_facts"":""facts_deduped""}"
INT007,accepted_conflicts_are_explained,error,pass,Accepted conflict outcomes must either land on the main sheet or be present in _unplaced_facts with a reason.,"{""missing"":[]}"
INT008,no_duplicate_exportable_fact_keys,error,pass,Exportable deduped facts must not contain duplicate mapping_code + period_key keys.,"{""duplicate_keys"":[]}"
